platform,country,city,zone,zone_tier,lat,lng,scraped_at,store_name,store_address,product_label,product_name,price,real_price,discount_pct,delivery_fee,service_fee_pct,eta_minutes,is_product_available,corridor
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",mcnuggets_10,McTrío mediano Mario Galaxy 10 McNuggets,159.0,159.0,0.0,9.9,0.0,30.0,False,McTrios Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,30.0,False,McTrios Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",mctrio_big_mac,McTrío mediano Big Mac,149.0,149.0,0.0,9.9,0.0,30.0,False,McTrios Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",mcnuggets_10,McTrio mediano McNuggets 10 pzas,159.0,159.0,0.0,9.9,0.0,30.0,False,McTrios Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,30.0,False,A La Carta Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",big_mac,Big Mac,125.0,125.0,0.0,9.9,0.0,30.0,False,A La Carta Comida
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",coca_cola,Coca-Cola Zero mediana,55.0,55.0,0.0,9.9,0.0,30.0,False,Bebidas
rappi,MX,CDMX,Iztapalapa,low,19.3578,-99.0892,2026-04-07T19:48:37,Mc Donald's - Ermita ,"Ermita Iztapalapa 748, Granjas San Antonio, 09070 Ciudad de México, CDMX",coca_cola,Coca-Cola mediana,55.0,55.0,0.0,9.9,0.0,30.0,False,Bebidas
rappi,MX,CDMX,Ecatepec,low,19.6011,-99.0506,2026-04-07T19:48:37,Mcdonald's Ecatepec Las Americas ,"Av. 1ro de Mayo, Fraccionamiento Las Americas, Las Américas, 55070 México, Méx.",mctrio_big_mac,McTrío mediano Big Mac Tocino,169.0,169.0,0.0,9.9,0.0,40.0,False,Big Mac + Coca
rappi,MX,CDMX,Ecatepec,low,19.6011,-99.0506,2026-04-07T19:48:37,Mcdonald's Ecatepec Las Americas ,"Av. 1ro de Mayo, Fraccionamiento Las Americas, Las Américas, 55070 México, Méx.",big_mac,Big Mac Tocino,145.0,145.0,0.0,9.9,0.0,40.0,False,Big Mac + Coca
